fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2023-08-06;Salamanca;119263;11;;;37274;40.833333,-6.0
2023-08-06;Segovia;52131;4;;;40004;41.166667,-4.0
2023-08-06;Soria;35227;4;;;42173;41.666667,-2.666667
2023-08-06;León;150968;15;;;24089;42.666667,-6.0
2023-08-06;Palencia;68016;2;;;34120;42.432128,-4.520647
2023-08-05;Ávila;56857;1;;;5019;40.616092,-4.929031
2023-08-05;Salamanca;119252;10;;;37274;40.833333,-6.0
2023-08-05;Soria;35223;6;;;42173;41.666667,-2.666667
2023-08-05;Segovia;52127;4;;;40004;41.166667,-4.0
2023-08-05;Valladolid;197379;5;;;47186;41.583333,-4.666667
2023-08-05;Burgos;129886;3;;;9059;42.383333,-3.666667
2023-08-05;León;150953;17;;;24089;42.666667,-6.0
2023-08-05;Palencia;68014;3;;;34120;42.432128,-4.520647
2023-08-05;Zamora;58753;2;;;49275;41.75,-6.0
2023-08-04;Burgos;129883;9;;;9059;42.383333,-3.666667
2023-08-04;Palencia;68011;10;;;34120;42.432128,-4.520647
2023-08-04;Salamanca;119242;10;;;37274;40.833333,-6.0
2023-08-04;Soria;35217;8;;;42173;41.666667,-2.666667
2023-08-04;Valladolid;197374;20;;;47186;41.583333,-4.666667
2023-08-04;Ávila;56856;12;;;5019;40.616092,-4.929031
2023-08-04;León;150936;22;;;24089;42.666667,-6.0
2023-08-04;Segovia;52123;26;;;40004;41.166667,-4.0
2023-08-04;Zamora;58751;7;;;49275;41.75,-6.0
2023-08-03;Ávila;;11;;;5019;40.616092,-4.929031
